Symbiota ID,Catalog Number,Other Catalog #,Family,ID Qualifier,Scientific Name,Author,Collector,Collector Number,Associated Collectors,Event Date,Verbatim Date,Identified By,Date Identified,Country,Locality,Latitude,Longitude,Uncertainty In Meters,Georeferenced By,Georeference Protocol,Georeference Sources,Georef Remarks,Elev. Min. (m),Elev. Max. (m),Habitat,Substrate,Notes (Occurrence Remarks),Associated Taxa,Description,Date Last Modified,Processing Status,Entered By,Basis Of Record,Language,Continent
https://fm-digital-assets.fieldmuseum.org/482/390/C1044829F.jpg,C1044829F,,Ditrichaceae,,Ceratodon purpureus,(Hedw.) Brid.,Wolf & Rothrock,s.n.,,,s.d.,,,,,,,,,,,,,,,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
https://fm-digital-assets.fieldmuseum.org/482/391/C1044830F.jpg,C1044830F,,Ditrichaceae,,Ceratodon purpureus,(Hedw.) Brid.,unknown,s.n.,,,s.d.,,,,,,,,,,,,,,,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
https://fm-digital-assets.fieldmuseum.org/482/392/C1044831F.jpg,C1044831F,,Ditrichaceae,,Ceratodon purpureus,(Hedw.) Brid.,Wolf & Rothrock,s.n.,,,s.d.,,,,,,,,,,,,,,,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
https://fm-digital-assets.fieldmuseum.org/482/393/C1044832F.jpg,C1044832F,,Ditrichaceae,,Ceratodon purpureus,(Hedw.) Brid.,Wolf & Rothrock,s.n.,,1873-00-00,1873,,,,West of the 100th Meridian,,,,,,,,,,,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
https://fm-digital-assets.fieldmuseum.org/482/448/C1045110F.jpg,C1045110F,,Grimmiaceae,,Grimmia apocarpa,Hedw.,unknown,247,,1890-04-11,1890-4-11,,,,Cape [illegible] Mt.,,,,,,,,914,,On limestone ledges,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
https://fm-digital-assets.fieldmuseum.org/482/478/C1045241F.jpg,C1045241F,,Grimmiaceae,,Grimmia maritima,Turner ex R. W. Scott,unknown,s.n.,,1982-08-11,1982-8-11,,,,,,,,,,,,,,,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
https://fm-digital-assets.fieldmuseum.org/482/524/C1045287F.jpg,C1045287F,,Grimmiaceae,,Grimmia apocarpa,Hedw.,unknown,s.n.,,,s.d.,,,,,,,,,,,,,,,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
https://fm-digital-assets.fieldmuseum.org/482/529/C1045291F.jpg,C1045291F,,Grimmiaceae,,Grimmia olneyi,Sull.,unknown,s.n.,,,s.d.,,,,,,,,,,,,,,,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
https://fm-digital-assets.fieldmuseum.org/482/541/C1045307F.jpg,C1045307F,,Grimmiaceae,,Grimmia ambigua,(Sull.) Sull.,unknown,s.n.,,,s.d.,,,,,,,,,,,,,,,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
https://fm-digital-assets.fieldmuseum.org/482/545/C1045313F.jpg,C1045313F,,Grimmiaceae,,Grimmia ambigua,(Sull.) Sull.,unknown,s.n.,,1890-03-24,1890-3-24,,,,,,,,,,,,914,1219,On granite limestone? boulders,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
https://fm-digital-assets.fieldmuseum.org/482/552/C1045321F.jpg,C1045321F,,Grimmiaceae,,Grimmia olneyi,Sull.,unknown,209,,,s.d.,,,,,,,,,,,,,,In rupibus maritimus Rhodensis Insulae,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
https://fm-digital-assets.fieldmuseum.org/482/565/C1045338F_a.jpg,C1045338F,,Ephemeraceae,,Micromitrium synoicum,(James) Austin,S. Rapp,97,,1913-12-08,12/8/1913,,,,,,,,,,,,,,,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
https://fm-digital-assets.fieldmuseum.org/482/568/C1045340F.jpg,C1045340F,,Grimmiaceae,,Grimmia platyphylla,Mitt.,Wolf & Rothrock,s.n.,,1873-00-00,s.d.,,,,,,,,,,,,,,,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
https://fm-digital-assets.fieldmuseum.org/482/576/C1045352F.jpg,C1045352F,,Grimmiaceae,,Grimmia platyphylla,Mitt.,unknown,s.n.,,1890-08-11,1890-8-11,,,,Rocky Mountains,,,,,,,,,,,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
https://fm-digital-assets.fieldmuseum.org/482/266/C1044086F.jpg,C1044086F,,Ditrichaceae,,Ceratodon purpureus,(Hedw.) Brid.,unknown,s.n.,,,s.d.,,,,,,,,,,,,,,,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
https://fm-digital-assets.fieldmuseum.org/482/276/C1044122F.jpg,C1044122F,,Ditrichaceae,,Ceratodon purpureus,(Hedw.) Brid.,unknown,s.n.,,,s.d.,,,,,,,,,,,,,,,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
https://fm-digital-assets.fieldmuseum.org/483/192/C0073541F.jpg,C0073541F,,Splachnaceae,,Splachnum sphaericum,Hedw.,E. Lönnkvist,s.n.,,1880-06-00,Jun. 1880,,,,,,,,,,,,,,,,,,,2024-12-05 11:18:41,stage 2,,PreservedSpecimen,en,
https://media01.symbiota.org/media/storage/f/bryophytes/C10400/C1040032F.jpg,C1040032F,,Ditrichaceae,,Ceratodon purpureus,(Hedw.) Brid.,R. A. Harper,9,,1893-08-25,,,,,,,,,,,,,,,,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
https://fm-digital-assets.fieldmuseum.org/484/144/C0082070F.jpg,C0082070F,,Ditrichaceae,,Distichium capillaceum,(Hedw.) Bruch & Schimp.,E. Hall,s.n.,,1862-00-00,1862,,,,Rocky Mountains,,,,,,,,,,,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
https://fm-digital-assets.fieldmuseum.org/484/561/C0082972F.jpg,C0082972F,,Aulacomniaceae,,Aulacomnium palustre,(Hedw.) Schwägr.,K. Rawson,s.n.,,1927-00-00,1927--28,,,,Greenland and Labrador,,,,,,,,,,,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
https://fm-digital-assets.fieldmuseum.org/484/578/C0083011F.jpg,C0083011F,,Aulacomniaceae,,Aulacomnium palustre,(Hedw.) Schwägr.,K. Rawson,s.n.,,1927-00-00,1927--28,,,,Greenland and Labrador,,,,,,,,,,,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
https://fm-digital-assets.fieldmuseum.org/486/754/C0082032F.jpg,C0082032F,,Aulacomniaceae,,Aulacomnium palustre,(Hedw.) Schwägr.,E. Hall,s.n.,,1862-00-00,1862,,,,Rocky Mountains,,,,,,,,,,,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
https://fm-digital-assets.fieldmuseum.org/487/221/C0084665F_a.jpg,C0084665F,,Grimmiaceae,,Coscinodon calyptratus,(Drumm.) C. E. O. Jensen,Wolf & Rothrock,s.n.,,1873-00-00,1873,,,,West of the 100th Meridian,,,,,,,,,,,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
https://fm-digital-assets.fieldmuseum.org/488/009/C1044100F.jpg,C1044100F,,Archidiaceae,,Archidium alternifolium,(Hedw.) Mitt.,J. A. Snider,s.n.,,1973-03-10,3/10/1973,,,,,,,,,,,,,,,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
https://fm-digital-assets.fieldmuseum.org/488/015/C1044104F.jpg,C1044104F,,Archidiaceae,,Archidium ohioense,Schimp. ex Müll. Hal.,unknown,35,,,s.d.,,,,,,,,,,,,,,"In pratis humidunseulis, rarum",,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
https://fm-digital-assets.fieldmuseum.org/487/609/C0076676F.jpg,C0076676F,,Aneuraceae,,Aneura pseudopinguis,(Herzog) Pócs,J. R. Shevock,34713,,2010-03-12,2010-3-12,,,,,1.6167,7.45,,,TGN - Centroid,Getty Thesaurus of Geographic Names (TGN),,,,,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
https://fm-digital-assets.fieldmuseum.org/487/909/C0084655F.jpg,C0084655F,,Mniaceae,,Mnium cinclidioides,Huebener,unknown,s.n.,,1939-05-00,V/1939,,,,,,,,,,,,,,,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
https://fm-digital-assets.fieldmuseum.org/489/949/C0078974F.jpg,C0078974F,,Bryaceae,,Bryum elongatum,(Hedw.) With.,unknown,s.n.,,,s.d.,,,,Rocky Mountains,,,,,,,,,,Banks,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
